ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,VALUE_FILE1,VALUE_FILE2
BB-405943473A-405943474A-8640442,20240721,3102341564,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,PRODUCTID,3115585,3116265
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,PONUMBER,13811299290,463241.0
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,BILLTOADDRESS3,20240730224712.0,20240730000000
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-404615978A-404615981A-3116265,20240713,3100205702,BroadBand Closed,GENERICATTRIBUTE25,17291341.0,17291351.0
BB-404908076A-404908079A-15021551,20240715,3100558150,BroadBand Closed,PONUMBER,13811318597,465154.0
BB-404908076A-404908079A-15021551,20240715,3100558150,BroadBand Closed,BILLTOADDRESS3,20240730144607.0,20240730000000
BB-404908076A-404908079A-15021551,20240715,3100558150,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405254119A-405254120A-3077666,20240717,3101154386,BroadBand Closed,PONUMBER,13811281341,461439.0
