ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,VALUE_FILE1,VALUE_FILE2
BB-406827184A-406827187A-9243632,20240726,125784560,BroadBand Closed,BILLTOADDRESS3,20240730134822.0,20240730000000
BB-406827184A-406827187A-9243632,20240726,125784560,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406827184A-406827187A-8872762,20240726,126793121,BroadBand Closed,PONUMBER,13811280427,461342.0
BB-406827184A-406827187A-8872762,20240726,126793121,BroadBand Closed,BILLTOADDRESS3,20240730134822.0,20240730000000
BB-406827184A-406827187A-8872762,20240726,126793121,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406827184A-406827187A-9210852,20240726,127883781,BroadBand Closed,PONUMBER,13811280427,461342.0
BB-406827184A-406827187A-9210852,20240726,127883781,BroadBand Closed,BILLTOADDRESS3,20240730134822.0,20240730000000
BB-406827184A-406827187A-9210852,20240726,127883781,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-403093620A-403093623A-8640442,20240704,2978222495,BroadBand Closed,PONUMBER,13811236193,456939.0
BB-403093620A-403093623A-8640442,20240704,2978222495,BroadBand Closed,BILLTOADDRESS3,20240730134821.0,20240730000000
BB-403093620A-403093623A-8640442,20240704,2978222495,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-403920748A-403920750A-8640442,20240709,2101525969,BroadBand Closed,PONUMBER,13811299589,463277.0
BB-403920748A-403920750A-8640442,20240709,2101525969,BroadBand Closed,BILLTOADDRESS3,20240730094623.0,20240730000000
BB-403920748A-403920750A-8640442,20240709,2101525969,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405219476A-405219479A-8640442,20240717,95329578,BroadBand Closed,PONUMBER,13811262919,459568.0
BB-405219476A-405219479A-8640442,20240717,95329578,BroadBand Closed,BILLTOADDRESS3,20240730084639.0,20240730000000
BB-405219476A-405219479A-8640442,20240717,95329578,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405798384A-405798387A-9046602,20240720,2266977575,BroadBand Closed,PONUMBER,13811316302,464926.0
BB-405798384A-405798387A-9046602,20240720,2266977575,BroadBand Closed,BILLTOADDRESS3,20240730145248.0,20240730000000
BB-405798384A-405798387A-9046602,20240720,2266977575,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-407637917A-407637918A-15021551,20240730,3099076799,BroadBand Closed,PONUMBER,13808068632,351663.0
BB-407637917A-407637918A-15021551,20240730,3099076799,BroadBand Closed,BILLTOADDRESS3,20240730175053.0,20240730000000
BB-407637917A-407637918A-15021551,20240730,3099076799,BroadBand Closed,COMMENTS,Ceased Txn - BB-403951852A-403951857A-15021551-20240709-3099076799,Cessation Txn
BB-407637917A-407637918A-15021551,20240730,3099076799,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-407637917A-407637918A-2573035,20240730,3099076789,BroadBand Closed,PONUMBER,13808068632,351663.0
BB-407637917A-407637918A-2573035,20240730,3099076789,BroadBand Closed,BILLTOADDRESS3,20240730175053.0,20240730000000
BB-407637917A-407637918A-2573035,20240730,3099076789,BroadBand Closed,COMMENTS,Ceased Txn - BB-403951852A-403951857A-2573035-20240709-3099076789,Cessation Txn
BB-407637917A-407637918A-2573035,20240730,3099076789,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-407637964A-407637965A-18707771,20240730,2961297775,BroadBand Closed,PONUMBER,13811273045,460561.0
BB-407637964A-407637965A-18707771,20240730,2961297775,BroadBand Closed,BILLTOADDRESS3,20240730174935.0,20240730000000
BB-407637964A-407637965A-18707771,20240730,2961297775,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-407637917A-407637918A-2572995,20240730,3099076790,BroadBand Closed,PONUMBER,13808068632,351663.0
BB-407637917A-407637918A-2572995,20240730,3099076790,BroadBand Closed,BILLTOADDRESS3,20240730175053.0,20240730000000
BB-407637917A-407637918A-2572995,20240730,3099076790,BroadBand Closed,COMMENTS,Ceased Txn - BB-403951852A-403951857A-2572995-20240709-3099076790,Cessation Txn
BB-407637917A-407637918A-2572995,20240730,3099076790,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-396498529A-396498534A-4436345,20240523,3086998101,BroadBand Closed,PONUMBER,13811249301,458235.0
BB-396498529A-396498534A-4436345,20240523,3086998101,BroadBand Closed,BILLTOADDRESS3,20240730144601.0,20240730000000
BB-396498529A-396498534A-4436345,20240523,3086998101,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-396498529A-396498534A-3116265,20240523,3086997516,BroadBand Closed,PRODUCTID,3115585,3116265
BB-396498529A-396498534A-3116265,20240523,3086997516,BroadBand Closed,PONUMBER,13811249301,458235.0
BB-396498529A-396498534A-3116265,20240523,3086997516,BroadBand Closed,BILLTOADDRESS3,20240730144601.0,20240730000000
BB-396498529A-396498534A-3116265,20240523,3086997516,BroadBand Closed,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-396498529A-396498534A-3116265,20240523,3086997516,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-407645647A-407645651A-40057212,20240730,2982733638,BroadBand Closed,PONUMBER,13811248983,458210.0
BB-407645647A-407645651A-40057212,20240730,2982733638,BroadBand Closed,BILLTOADDRESS3,20240730234528.0,20240730000000
BB-407645647A-407645651A-40057212,20240730,2982733638,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-407645647A-407645651A-18707841,20240730,3100449267,BroadBand Closed,PONUMBER,13811248983,458210.0
BB-407645647A-407645651A-18707841,20240730,3100449267,BroadBand Closed,BILLTOADDRESS3,20240730234528.0,20240730000000
BB-407645647A-407645651A-18707841,20240730,3100449267,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405244957A-405244959A-9046602,20240717,2819442304,BroadBand Closed,PONUMBER,13811275605,460823.0
BB-405244957A-405244959A-9046602,20240717,2819442304,BroadBand Closed,BILLTOADDRESS3,20240730174804.0,20240730000000
BB-405244957A-405244959A-9046602,20240717,2819442304,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,PRODUCTID,3115585,3116265
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,PONUMBER,13811275605,460823.0
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,BILLTOADDRESS3,20240730174804.0,20240730000000
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-405244957A-405244959A-3116265,20240717,3101138278,BroadBand Closed,GENERICATTRIBUTE25,11433621.0,9046602.0
BB-406683792A-406683795A-9046602,20240725,2833695461,BroadBand Closed,PONUMBER,13811263063,459580.0
BB-406683792A-406683795A-9046602,20240725,2833695461,BroadBand Closed,BILLTOADDRESS3,20240730003025.0,20240730000000
BB-406683792A-406683795A-9046602,20240725,2833695461,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406050889A-406050892A-8796552,20240722,148169510,BroadBand Closed,PONUMBER,13811297600,463083.0
BB-406050889A-406050892A-8796552,20240722,148169510,BroadBand Closed,BILLTOADDRESS3,20240730134817.0,20240730000000
BB-406050889A-406050892A-8796552,20240722,148169510,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-404878579A-404878582A-9046602,20240715,2853055340,BroadBand Closed,PONUMBER,13811325883,465923.0
BB-404878579A-404878582A-9046602,20240715,2853055340,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-404878579A-404878582A-9046602,20240715,2853055340,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-404878579A-404878582A-18707771,20240715,2853057380,BroadBand Closed,PONUMBER,13811325883,465923.0
BB-404878579A-404878582A-18707771,20240715,2853057380,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-404878579A-404878582A-18707771,20240715,2853057380,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-404878579A-404878582A-18707841,20240715,2982949761,BroadBand Closed,PONUMBER,13811325883,465923.0
BB-404878579A-404878582A-18707841,20240715,2982949761,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-404878579A-404878582A-18707841,20240715,2982949761,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406050889A-406050892A-17291351,20240722,2564916702,BroadBand Closed,PONUMBER,13811297600,463083.0
BB-406050889A-406050892A-17291351,20240722,2564916702,BroadBand Closed,BILLTOADDRESS3,20240730134817.0,20240730000000
BB-406050889A-406050892A-17291351,20240722,2564916702,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406297529A-406297531A-8640442,20240723,130618574,BroadBand Closed,PONUMBER,13811257473,459015.0
BB-406297529A-406297531A-8640442,20240723,130618574,BroadBand Closed,BILLTOADDRESS3,20240730005613.0,20240730000000
BB-406297529A-406297531A-8640442,20240723,130618574,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406869816A-406869819A-9046602,20240726,2306125694,BroadBand Closed,PONUMBER,13811306089,463910.0
BB-406869816A-406869819A-9046602,20240726,2306125694,BroadBand Closed,BILLTOADDRESS3,20240730005616.0,20240730000000
BB-406869816A-406869819A-9046602,20240726,2306125694,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405219476A-405219479A-8796552,20240717,95329573,BroadBand Closed,PONUMBER,13811262919,459568.0
BB-405219476A-405219479A-8796552,20240717,95329573,BroadBand Closed,BILLTOADDRESS3,20240730084639.0,20240730000000
BB-405219476A-405219479A-8796552,20240717,95329573,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405792733A-405792737A-9210852,20240720,2102287104,BroadBand Closed,PONUMBER,13811297243,463048.0
BB-405792733A-405792737A-9210852,20240720,2102287104,BroadBand Closed,BILLTOADDRESS3,20240730094619.0,20240730000000
BB-405792733A-405792737A-9210852,20240720,2102287104,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-405797694A-405797698A-18707771,20240720,2828242510,BroadBand Closed,PONUMBER,13811276041,460859.0
BB-405797694A-405797698A-18707771,20240720,2828242510,BroadBand Closed,BILLTOADDRESS3,20240730134815.0,20240730000000
BB-405797694A-405797698A-18707771,20240720,2828242510,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-406291720A-406291723A-18707771,20240723,2851106698,BroadBand Closed,PONUMBER,13811241111,457432.0
BB-406291720A-406291723A-18707771,20240723,2851106698,BroadBand Closed,BILLTOADDRESS3,20240730134823.0,20240730000000
BB-406291720A-406291723A-18707771,20240723,2851106698,BroadBand Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
BB-402865163A-402865166A-2646395,20240703,3097253922,BroadBand Closed,PONUMBER,13811306595,463957.0
BB-402865163A-402865166A-2646395,20240703,3097253922,BroadBand Closed,BILLTOADDRESS3,20240730224639.0,20240730000000
BB-402865163A-402865166A-2646395,20240703,3097253922,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
