H|20240903 19:31:41|EPC_ProductList|   
RECORD_TYPE|PROMO_CODE|PROMO_DESCRIPTION|START_DATE|END_DATE|AUTO_IND|RANK|MODEL|BRAND|DISCOUNT|SRC|SALES_CHANNEL|TRANS
D|101511550N|$100 OFF CIS HANDSET (SITEX C3 N ABV)|2017-11-18T00:00:00|2018-04-20T23:59:59|N||*|*|*|CIS|*|*
D|101512530N|$50 OFF CIS HANDSET (C3 N ABV W DATA)|2017-11-18T00:00:00|2018-04-20T23:59:59|N||*|*|*|CIS|*|*
D|101512560N|$100 OFF CIS IPHONE 8/8 PLUS (C3 & ABV)|2017-11-18T00:00:00|2018-04-20T23:59:59|N||*|*|*|CIS|*|*
D|101513300N|$100 OFF CIS IPHONE 7/7 PLUS (C3 & ABOVE)|2017-05-13T00:00:00|2018-04-20T23:59:59|N||*|*|*|CIS|*|*
D|101514580N|$200 OFF CIS IPHONE 7 256GB (GA ONLY)|2017-06-10T00:00:00|2018-04-20T23:59:59|N||*|*|*|CIS|*|*
D|101513310N|$128 OFF CIS IPHONE TRADE-IN PROMO|2018-02-17T00:00:00|2018-05-30T23:59:59|N||*|*|*|CIS|*|*
D|101514550N|$200 OFF CIS IPHONE (GA C2 N ABOVE)|2018-02-10T00:00:00|2018-05-30T23:59:59|N||*|*|*|CIS|*|*
D|101511560N|$50 OFF CIS APPLE WATCH W NUMBERSHARE|2018-03-24T00:00:00|2018-06-08T23:59:59|N||*|*|*|CIS|*|*
D|101511650N|$200 OFF CIS APPLE WATCH W IPHONE|2018-02-09T00:00:00|2018-06-08T23:59:59|N||*|*|*|CIS|*|*
D|101514620N|$100 OFF ANY HANSET WITH FHB (NEW/MIG)|2018-03-24T00:00:00|2018-07-13T23:59:59|N||*|*|*|BB PM|*|*
D|101511550N|$100 OFF CIS IPHONE 8/8P/X W FIBRE|2018-04-21T00:00:00|2018-07-20T23:25:59|N||*|*|*|CIS|*|*
D|101513300N|$225 OFF CIS IPHONE X 256GB W INFINITY|2018-04-21T00:00:00|2018-07-20T23:25:59|N||*|*|*|CIS|*|*
D|101513310N|$50 OFF CIS HANDSET W DATA|2018-05-31T00:00:00|2018-07-20T23:25:59|N||*|*|*|DBU|*|*
D|101514630N|$100 OFF ANY HANSET WITH FHB (RECON)|2018-03-24T00:00:00|2018-07-31T23:59:59|N||*|*|*|BB PM|*|*
D|101511120N|$98 OFF HUAWEI NOVA2I (GA COMBO 2)|2016-01-01T00:00:00|2018-08-03T23:59:59|N||*|*|*|DBU|*|*
D|101511590N|$300 OFF SAMSUNG TABLET (MBB 5GB N ABV)|2016-01-01T00:00:00|2018-08-03T23:59:59|N||*|*|*|DBU|*|*
