H|20240228 22:21:02|EPC_ProductList|   
RECORD_TYPE|PRODUCT_ID|PRODUCT_DESCRIPTION|SERVICE_TYPE|BUSINESS_PRODUCT_TYPE|PRODUCT_FAMILY|LIST_PRICE|SPEED|EFFECTIVE_DATE|EXPIRATION_DATE|PO_TYPE|FV_SVC_TECHNOLOGY|OFFER_TYPE
D|8463872|CIS - Free Caller ID (12 mths) (3G)|MOB|VAS|DiscCIS||null|19900101|null|||Regular
D|8463872|CIS - Free Caller ID (12 mths) (3G)|MOB|null|DiscCIS||null|19900101|null|||Regular
D|8463952|CIS - Free VoiceMail (30) (12 mths) (3G)|MOB|VAS|DiscVoiceMail||null|19900101|null|||Regular
D|8463952|CIS - Free VoiceMail (30) (12 mths) (3G)|MOB|null|DiscVoiceMail||null|19900101|null|||Regular
D|8463962|Free VoiceMail (30) (3G)|MOB|VAS|DiscVoiceMail|0|null|19900101|21200101|||Regular
D|8463972|CIS - Free VoiceMail (30)(24 mths)|MOB|VAS|DiscVoiceMail||null|19900101|null|||Regular
D|8463972|CIS - Free VoiceMail (30)(24 mths)|MOB|null|DiscVoiceMail||null|19900101|null|||Regular
D|8463982|CIS - Free VoiceMail (30)(24 mths)(3G)|MOB|VAS|DiscVoiceMail||null|19900101|null|||Regular
D|8463982|CIS - Free VoiceMail (30)(24 mths)(3G)|MOB|null|DiscVoiceMail||null|19900101|null|||Regular
D|8464022|Free v019 Call Monthly Subscription Discount - 100%|MOB|VAS|Discv019||null|19900101|21200101|||Regular
D|8464122|Mobile Internet Filter (1 Number) Subs Disc@0.093/mth - 96.6667% (excl. GST) (1 mth)|MOB|VAS|DiscMobIntFil||null|19900101|21200101|||Regular
D|8464962|Caller ID Monthly Subscription Discount (3 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8467812|Staff Subscription Discount|MOB|VAS|DiscStaff||null|19900101|21200101|||Regular
D|8467822|FOSS Subscription Discount|MOB|VAS|DiscFOSS||null|19900101|21200101|||Regular
D|8478572|CIS Monthly Subscription Discount|MOB|VAS|DiscCIS||null|19900101|20500101|||Regular
D|8478572|CIS Monthly Subscription Discount|MOB|null|DiscCIS||null|19900101|20500101|||Regular
D|8480322|AutoRoam Monthly Subscription Discount (12 mths)|MOB|VAS|DiscAutoRoam||null|19900101|21200101|||Regular
D|8480382|AutoRoam Monthly Subscription Discount - 50%|MOB|VAS|DiscAutoRoam||null|19900101|21200101|||Regular
D|8493352|VoiceMail (30) Monthly Subscription Discount (12 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8493362|Voicemail - Additional 20 VoiceMail Registration Fee Discount|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8493382|Auto Roaming Voice Call Discount on 10 BMOs - 100% (24 mths)|MOB|null|Usage_disc|0|null|19900101|21200101|||Regular
D|8493382|Auto Roaming Voice Call Discount on 10 BMOs - 100% (24 mths)|MOB|VAS|Usage_disc|0|null|19900101|21200101|||Regular
D|8493392|Auto Roaming Voice Call Discount on 10 BMOs - Cap at $40 (24 mths)|MOB|null|Usage_disc|0|null|19900101|21200101|||Regular
D|8493402|Auto Roaming Voice Call Discount on 10 BMOs - Cap at $50 (24 mths)|MOB|null|Usage_disc|0|null|19900101|21200101|||Regular
D|8493402|Auto Roaming Voice Call Discount on 10 BMOs - Cap at $50 (24 mths)|MOB|VAS|Usage_disc|0|null|19900101|21200101|||Regular
D|8493412|AutoRoam Monthly Subscription Discount - 100%|MOB|VAS|DiscAutoRoam||null|19900101|21200101|||Regular
D|8493442|Caller Non-ID Monthly Subscription Discount - 96.2% (3 Months)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8493452|Caller Non-ID Quarterly Subscription Discount (12 Months)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8493462|Caller Non-ID Quarterly Subscription Discount (3 Months)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8493472|Caller Non-ID Quarterly Subscription Discount (6 Months)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8529542|Mobile BroadBand DataMore Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||
D|8529782|Staff 25% Disc on Mobile BroadBand 4G (5GB/10GB) Subs|MOB|VAS|DiscStaff||null|19900101|21200101|||Regular
D|8529942|Friends of Singtel 25% Disc on Mobile BroadBand 4G (5GB/10GB) Subs (24 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|FHB|Fibre|
D|8667942|10% Discount on Mobile BroadBand Subscription (CIS)|MOB|VAS|DiscStaff||null|19900101|21200101|FHB|Fibre|
D|8682042|100% Discount for Caller-ID (Free 12mths)|FV|VAS|Disc Caller ID||null|19900101|21200101|FHB|PSTN|
D|8682052|100% Discount for Caller-ID (Free 6mths)|FV|VAS|Disc Caller ID||null|19900101|21200101|FHB|PSTN|
D|8682082|100% Discount on Caller-ID (Duration: 24 months, Percent: 100%)|FV|VAS|Disc Caller ID||null|19900101|21200101|FHB|PSTN|
D|8682112|100% Discount on Singtel Home Digital Line (Call Plus Pack)(Duration: 24 months, Percent: 100%)|FV|VAS|Disc Call Plus Pack||null|20100817|null|FHB|Fibre|
D|8682402|Discount for OneMail|OM|VAS|Disc One Mail||null|19900101|21200101||PSTN|
D|8796032|Discount on Fibre Hm Plan (Free 1 mth)|GLP|VAS|Disc Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
