Validation	Team	Title	StartDate	EndDate	Band	Min 	Max	Rate
	Must match Team in Callidus Exactly	Must match title in Callidus Exactly	Month Start Date YYYY-MM-DD	Month End Date YYYY-MM-DD	Pick from drop down	Enter number without commas and % sign	Enter number without commas and % sign	Enter number without commas and % sign
OK	DT_Sudong	Digital Telesales - Sudong Manager	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong	Digital Telesales - Sudong Manager	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong	Digital Telesales - Sudong Manager	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong	Digital Telesales - Sudong Manager	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong_Team1	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_Sudong_Team1	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong_Team1	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong_Team1	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong_Team1	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong_Team1	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_Sudong_Team1	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong_Team1	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong_Team1	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong_Team1	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong_Team2	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_Sudong_Team2	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong_Team2	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong_Team2	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong_Team2	Digital Telesales - Sudong TL	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong_Team2	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_Sudong_Team2	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong_Team2	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong_Team2	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong_Team2	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_Sudong	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_Sudong	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_Sudong	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_Sudong	Digital Telesales - Sudong SE	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	Rigel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Rigel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Rigel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Rigel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Rigel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	3 Mobile	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	3 Mobile	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	3 Mobile	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	3 Mobile	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	3 Mobile	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	Novel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Novel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Novel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Novel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Novel	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	Trends	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Trends	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Trends	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Trends	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Trends	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	ERA	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	ERA	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	ERA	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	ERA	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	ERA	Retail SER - Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	Retail SERs	Retail SER - Trade Marketing Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Retail SERs	Retail SER - Trade Marketing Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Retail SERs	Retail SER - Trade Marketing Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Retail SERs	Retail SER - Trade Marketing Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Retail SERs	Retail SER - Trade Marketing Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	Retail SERs	Retail SER - Merchandise Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Retail SERs	Retail SER - Merchandise Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Retail SERs	Retail SER - Merchandise Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Retail SERs	Retail SER - Merchandise Manager	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Retail SERs	Retail SER - Merchandise Manager	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	Retail SERs	Retail SER - Senior Biz Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Retail SERs	Retail SER - Senior Biz Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	Retail SERs	Retail SER - Senior Biz Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	Retail SERs	Retail SER - Senior Biz Mgr	2023-10-01	2024-06-30	BAND 2	91	91	5
OK	Retail SERs	Retail SER - Senior Biz Mgr	2023-10-01	2024-06-30	BAND 1	92	100	10
OK	STS - Singtel Shop Bugis Junction	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Bugis Junction	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Bugis Junction	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Bugis Junction	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Bugis Junction	STS - Retail Exec	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Bugis Junction	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Bugis Junction	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Bugis Junction	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Bugis Junction	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Bugis Junction	STS - Assistant Manager	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Bugis Junction	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Bugis Junction	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Bugis Junction	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Bugis Junction	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Bugis Junction	STS - Technical Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Bugis Junction	STS - Store Mgr	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Bugis Junction	STS - Store Mgr	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Bugis Junction	STS - Store Mgr	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Bugis Junction	STS - Store Mgr	2023-10-01	2024-06-30	BAND 2	91	92	5
OK	STS - Singtel Shop Bugis Junction	STS - Store Mgr	2023-10-01	2024-06-30	BAND 1	93	100	10
OK	STS - Singtel Shop Causeway Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	STS - Singtel Shop Causeway Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 4	89	89	-5
OK	STS - Singtel Shop Causeway Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 3	90	90	0
OK	STS - Singtel Shop Causeway Point	STS - Retail Exec	2023-10-01	2024-06-30	BAND 2	91	92	5
