ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406637432A-406637435A-14917621,20240725,126304672,BroadBand Submitted,PONUMBER,13798201704.0,10985.0
BB-406637432A-406637435A-14917621,20240725,126304672,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637432A-406637435A-18707841,20240725,3103481046,BroadBand Submitted,PONUMBER,13798201704.0,10985.0
BB-406637432A-406637435A-18707841,20240725,3103481046,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406644984A-406644985A-2572995,20240725,3064589054,BroadBand Submitted,PONUMBER,13798277293.0,12287.0
BB-406644984A-406644985A-2572995,20240725,3064589054,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406667570A-406667571A-3622025,20240725,3100169594,BroadBand Submitted,PONUMBER,13756210952.0,12153.0
BB-406667570A-406667571A-3622025,20240725,3100169594,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406667662A-406667663A-13899281,20240725,2097034294,BroadBand Submitted,PONUMBER,13798243175.0,11678.0
BB-406667662A-406667663A-13899281,20240725,2097034294,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406680645A-406680646A-4176335,20240725,3103581525,BroadBand Submitted,PONUMBER,13798287557.0,12448.0
BB-406680645A-406680646A-4176335,20240725,3103581525,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406680817A-406680818A-71506956,20240725,3047111346,BroadBand Submitted,PONUMBER,13798223543.0,11349.0
BB-406680817A-406680818A-71506956,20240725,3047111346,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406680817A-406680818A-3077686,20240725,3047111355,BroadBand Submitted,PONUMBER,13798223543.0,11349.0
BB-406680817A-406680818A-3077686,20240725,3047111355,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406681194A-406681195A-8640442,20240725,3103581974,BroadBand Submitted,PONUMBER,13798235146.0,11550.0
BB-406681194A-406681195A-8640442,20240725,3103581974,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406681442A-406681443A-17291351,20240725,3103582486,BroadBand Submitted,PONUMBER,13798202777.0,11004.0
BB-406681442A-406681443A-17291351,20240725,3103582486,BroadBand Submitted,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-406681480A-406681481A-17291351,20240725,3103582561,BroadBand Submitted,PONUMBER,13798259489.0,11976.0
BB-406681480A-406681481A-17291351,20240725,3103582561,BroadBand Submitted,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-406654849A-406654851A-9046602,20240725,2951723845,BroadBand Submitted,PONUMBER,13798217794.0,11253.0
BB-406654849A-406654851A-9046602,20240725,2951723845,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
