ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406623577A-406623578A8901882P,25072024,2834987661,TV Submitted,PONUMBER,13809226091,19471.0
TV-406623577A-406623578A40057212P,25072024,3040767067,TV Submitted,PONUMBER,13809226091,19471.0
TV-406641461A-406641462A10242181P,25072024,2835961266,TV Submitted,PONUMBER,13809179837,18604.0
TV-406641461A-406641462A11914761P,25072024,2835961289,TV Submitted,PONUMBER,13809179837,18604.0
TV-406677490A-406677491A10242181P,25072024,2976924244,TV Submitted,PONUMBER,13809231579,19533.0
TV-406615805A-406615806A8901882P,25072024,2834762653,TV Submitted,PONUMBER,13809226051,19470.0
TV-406677490A-406677491A8848052P,25072024,2976927791,TV Submitted,PONUMBER,13809231579,19533.0
TV-406662096A-406662097A8901882P,25072024,2978243582,TV Submitted,PONUMBER,13612838422,18499.0
TV-406636402A-406636403A12468421N,25072024,3103477138,TV Submitted,PONUMBER,13809255821,19794.0
TV-406636376A-406636377A14986921N,25072024,3103475836,TV Submitted,PONUMBER,13809255820,19793.0
TV-406636376A-406636377A9187902N,25072024,3103476323,TV Submitted,PONUMBER,13809255820,19793.0
TV-406636402A-406636403A11348831N,25072024,3103475925,TV Submitted,PONUMBER,13809255821,19794.0
TV-406636558A-406636617A8847772N,25072024,3103478142,TV Submitted,PONUMBER,13809255822,19795.0
TV-406636558A-406636617A9187572N,25072024,3103478149,TV Submitted,PONUMBER,13809255822,19795.0
TV-406649633A-406649634A8847742N,25072024,2922144642,TV Submitted,PONUMBER,13809226334,19474.0
TV-406649717A-406649718A10426061N,25072024,2895440358,TV Submitted,PONUMBER,13612772151,18477.0
TV-406649879A-406649880A19569611N,25072024,3103509484,TV Submitted,PONUMBER,13809206632,19249.0
TV-406649984A-406649985A2232376N,25072024,3103510003,TV Submitted,PONUMBER,13809197741,18985.0
TV-406650408A-406650409A2232376N,25072024,3103509999,TV Submitted,PONUMBER,13809195352,18798.0
TV-406532909A-406533048A50031632N,24072024,3103369685,TV Submitted,PONUMBER,13809255761,19745.0
TV-406607812A-406607813A40187102N,25072024,3103426002,TV Submitted,PONUMBER,13809191854,18755.0
TV-406607818A-406607819A8901882N,25072024,14431230,TV Submitted,PONUMBER,13809175742,18555.0
TV-406607839A-406607840A11654601N,25072024,2714430094,TV Submitted,PONUMBER,13809221284,19421.0
TV-406611705A-406611706A8901882N,25072024,2847836397,TV Submitted,PONUMBER,13809210703,19299.0
TV-406611705A-406611706A8901882N,25072024,2847836397,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406633295A-406633296A9187572N,25072024,3051298987,TV Submitted,PONUMBER,13732127524,19608.0
TV-406633295A-406633296A9187572N,25072024,3051298987,TV Submitted,COMMENTS,Ceased Txn - TV-402081279A-402081280A2232376N-28062024-3095999672,Cessation Txn
TV-406633295A-406633296A9187572N,25072024,3051298987,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406640270A-406640271A14942N,25072024,2772547191,TV Submitted,PONUMBER,13809222889,19439.0
TV-406640270A-406640271A14942N,25072024,2772547191,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406640419A-406640420A8901882N,25072024,2837293646,TV Submitted,PONUMBER,13809223380,19447.0
TV-406640419A-406640420A8901882N,25072024,2837293646,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406606952A-406606953A9439433N,25072024,2861377772,TV Submitted,PONUMBER,13809227661,19506.0
TV-406606952A-406606953A9439433N,25072024,2861377772,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406613034A-406613038A8901882N,25072024,2833222809,TV Submitted,PONUMBER,13809197629,18974.0
TV-406613034A-406613038A8901882N,25072024,2833222809,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406613493A-406613494A9441983N,25072024,2857507075,TV Submitted,PONUMBER,13809227512,19502.0
TV-406613493A-406613494A9441983N,25072024,2857507075,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406613688A-406613689A10242181N,25072024,2245828208,TV Submitted,PONUMBER,13809211293,19308.0
TV-406613688A-406613689A10242181N,25072024,2245828208,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406658342A-406658343A9439393N,25072024,3097609820,TV Submitted,PONUMBER,13759867591,19666.0
TV-406658342A-406658343A9439393N,25072024,3097609820,TV Submitted,COMMENTS,Ceased Txn - TV-403056145A-403056401A11348831N-4072024-3097608875,Cessation Txn
TV-406658342A-406658343A9439393N,25072024,3097609820,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406658557A-406658561A10426171N,25072024,2853028608,TV Submitted,PONUMBER,13809208601,19274.0
TV-406658557A-406658561A10426171N,25072024,2853028608,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406655764A-406655765A10242181N,25072024,2783857100,TV Submitted,PONUMBER,13809223255,19444.0
TV-406655764A-406655765A10242181N,25072024,2783857100,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406655764A-406655765A26635944N,25072024,2783858874,TV Submitted,PONUMBER,13809223255,19444.0
